key,class,archetype,mana,amountExpr,pcalign,buffStat,buffAmt,durationMs,debuff,chance,cureCat,healthCost,animation,sound,action,aether
free_movement_mage,mage,Cure,60,,,,,,,,paras,,108,10,6,
doze_mage,mage,Debuff,30,,,,,10000,sleep,,,,2,305,6,36000
voids_touch_mage,mage,Debuff,30,,,,,10000,sleep,,,,2,305,6,24000
still_ethers_mage,mage,Debuff,30,,,,,10000,sleep,,,,2,305,6,24000
still_waters_mage,mage,Debuff,30,,,,,10000,sleep,,,,2,305,6,24000
electrocute_mage,mage,Damage,250,200 + (player.level * 4) + math.floor(((player.will + 1) / 2) * 4),0,,,,,,,,4,56,6,
eater_of_the_dead_mage,mage,Damage,250,200 + (player.level * 4) + math.floor(((player.will + 1) / 2) * 4),1,,,,,,,,17,59,6,
forests_discord_mage,mage,Damage,250,200 + (player.level * 4) + math.floor(((player.will + 1) / 2) * 4),2,,,,,,,,30,57,6,
shatter_storm_mage,mage,Damage,250,200 + (player.level * 4) + math.floor(((player.will + 1) / 2) * 4),3,,,,,,,,4,701,6,
erupt_mage,mage,Damage,80,math.ceil(25 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 1.5)),0,,,,,,,,4,56,6,
soulstorm_mage,mage,Damage,80,math.ceil(25 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 1.5)),1,,,,,,,,17,59,6,
avalanche_mage,mage,Damage,80,math.ceil(25 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 1.5)),2,,,,,,,,30,57,6,
deluge_mage,mage,Damage,80,math.ceil(25 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 1.5)),3,,,,,,,,4,701,6,
explode_mage,mage,Damage,180,150 + (player.level * 3) + math.floor(((player.will + 1) / 2) * 3),0,,,,,,,,4,56,6,
soul_chasm_mage,mage,Damage,180,150 + (player.level * 3) + math.floor(((player.will + 1) / 2) * 3),1,,,,,,,,17,59,6,
winters_vortex_mage,mage,Damage,180,150 + (player.level * 3) + math.floor(((player.will + 1) / 2) * 3),2,,,,,,,,30,57,6,
volcano_mage,mage,Damage,180,150 + (player.level * 3) + math.floor(((player.will + 1) / 2) * 3),3,,,,,,,,4,701,6,
fleshspeak_mage,mage,Heal,60,50,0,,,,,,,,5,4,,
spiritsong_mage,mage,Heal,60,50,1,,,,,,,,65,98,,
helping_hand_mage,mage,Heal,60,50,2,,,,,,,,64,63,,
heal_others_mage,mage,Heal,60,50,3,,,,,,,,63,4,,
gangrel_mage,mage,Buff,,,,,,,,,morphs,,3,,,
kwisin_mask_mage,mage,Buff,,,,,,,,,morphs,,3,,,
mingken_mask_mage,mage,Buff,,,,,,,,,morphs,,3,,,
ohaeng_mask_mage,mage,Buff,,,,,,,,,morphs,,3,,,
harden_armor_mage,mage,TargetBuff,30,,,armor,10,300000,,,,,2,5,6,
thicken_skin_mage,mage,TargetBuff,30,,,armor,10,300000,,,,,111,5,6,
shield_of_life_mage,mage,TargetBuff,30,,,armor,10,300000,,,,,110,5,6,
elemental_armor_mage,mage,TargetBuff,30,,,armor,10,300000,,,,,59,5,6,
heal_mage,mage,Heal,120,500,0,,,,,,,,5,4,,
ancestors_touch_mage,mage,Heal,120,500,1,,,,,,,,65,98,,
life_flow_mage,mage,Heal,120,500,2,,,,,,,,64,63,,
infuse_lifeforce_mage,mage,Heal,120,500,3,,,,,,,,63,4,,
hellfire_mage,mage,Damage,1000,math.ceil(player.magic * 2.15),30,,,,,,,,8,88,,19000
consume_soul_mage,mage,Damage,1000,math.ceil(player.magic * 2.15),31,,,,,,,,54,88,,19000
flesh_eaters_mage,mage,Damage,1000,math.ceil(player.magic * 2.15),32,,,,,,,,104,88,,19000
hurricane_mage,mage,Damage,1000,math.ceil(player.magic * 2.15),33,,,,,,,,112,88,,19000
hindrance_mage,mage,Debuff,1000,,,,,,slow,,,,1,5,6,
ignite_mage,mage,Damage,30,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),0,,,,,,,,4,56,,
spirit_strike_mage,mage,Damage,30,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),1,,,,,,,,17,59,,
wrath_of_nature_mage,mage,Damage,30,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),2,,,,,,,,30,57,,
thunderclap_mage,mage,Damage,30,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),3,,,,,,,,4,701,,
impact_mage,mage,Damage,120,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),0,,,,,,,,4,56,,
soul_spike_mage,mage,Damage,120,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),1,,,,,,,,17,59,,
treefall_mage,mage,Damage,120,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),2,,,,,,,,30,57,,
shatter_mage,mage,Damage,120,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),3,,,,,,,,4,701,,
inferno_mage,mage,Damage,0,math.ceil(player.magic * 1.5),30,,,,,,,,8,88,6,70000
deaths_door_mage,mage,Damage,0,math.ceil(player.magic * 1.5),31,,,,,,,,54,88,6,70000
natures_denial_mage,mage,Damage,0,math.ceil(player.magic * 1.5),32,,,,,,,,104,88,6,70000
steel_storm_mage,mage,Damage,0,math.ceil(player.magic * 1.5),33,,,,,,,,112,88,6,70000
invoke_mage,mage,ManaBattery,30,,,,,,,,,math.floor(player.maxMagic *.4),11,85,6,22000
spirits_power_mage,mage,ManaBattery,30,,,,,,,,,math.floor(player.maxMagic *.4),95,18,6,22000
life_force_mage,mage,ManaBattery,30,,,,,,,,,math.floor(player.maxMagic *.4),90,97,6,22000
gather_magic_mage,mage,ManaBattery,30,,,,,,,,,math.floor(player.maxMagic *.4),78,105,6,22000
ion_mage,mage,Damage,60,math.ceil(25 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 1.5)),0,,,,,,,,4,56,,
soul_strike_mage,mage,Damage,60,math.ceil(25 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 1.5)),1,,,,,,,,17,59,,
tree_dart_mage,mage,Damage,60,math.ceil(25 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 1.5)),2,,,,,,,,30,57,,
sunstroke_mage,mage,Damage,60,math.ceil(25 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 1.5)),3,,,,,,,,4,701,,
ion_charge_mage,mage,Damage,120,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),0,,,,,,,,4,56,6,
crescendo_mage,mage,Damage,120,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),1,,,,,,,,17,59,6,
flight_of_arrows_mage,mage,Damage,120,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),2,,,,,,,,30,57,6,
blazing_sands_mage,mage,Damage,120,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),3,,,,,,,,4,701,6,
ju_jak_curse_mage,mage,Debuff,2000,,,,,,slow,,,,1,5,6,
lay_hands_mage,mage,Heal,90,100,0,,,,,,,,5,4,,
spirits_smile_mage,mage,Heal,90,100,1,,,,,,,,65,98,,
lifes_water_mage,mage,Heal,90,100,2,,,,,,,,64,63,,
quicken_mage,mage,Heal,90,100,3,,,,,,,,63,4,,
magis_bane,mage,Utility,,,,,,,,,,,-1,,,
mend_wounds_mage,mage,Heal,80,100,0,,,,,,,,5,4,,
spiritual_cure_mage,mage,Heal,80,100,1,,,,,,,,65,98,,
natures_kiss_mage,mage,Heal,80,100,2,,,,,,,,64,63,,
cooling_touch_mage,mage,Heal,80,100,3,,,,,,,,63,4,,
might_mage,mage,Buff,30,,,might,3,625000,,,mights,,11,12,6,
spirit_strength_mage,mage,Buff,30,,,might,3,625000,,,mights,,117,31,6,
inner_blessing_mage,mage,Buff,30,,,might,3,625000,,,mights,,117,31,6,
temper_mage,mage,Buff,30,,,might,3,625000,,,mights,,117,31,6,
paralyze_mage,mage,Debuff,100,,,,,20000,paralyze,70 + (player.will *.2307),,,1,70,6,
spirit_leash_mage,mage,Debuff,100,,,,,20000,paralyze,70 + (player.will *.2307),,,88,86,6,
cold_binds_mage,mage,Debuff,100,,,,,20000,paralyze,70 + (player.will *.2307),,,99,48,6,
lockup_mage,mage,Debuff,100,,,,,20000,paralyze,70 + (player.will *.2307),,,52,20,6,
pestilence_mage,mage,Debuff,20,,,,,,slow,,,,1,5,6,
purge_mage,mage,Cure,30,,,,,,,,venoms,,10,10,6,
cure_illness_mage,mage,Cure,30,,,,,,,,venoms,,70,10,6,
restore_health_mage,mage,Cure,30,,,,,,,,venoms,,57,10,6,
remove_poison_mage,mage,Cure,30,,,,,,,,venoms,,108,10,6,
recover_mage,mage,Heal,100,200,0,,,,,,,,5,4,,
spirits_embrace_mage,mage,Heal,100,200,1,,,,,,,,65,98,,
infuse_energy_mage,mage,Heal,100,200,2,,,,,,,,64,63,,
lifes_river_mage,mage,Heal,100,200,3,,,,,,,,63,4,,
rejuvenate_mage,mage,Heal,180,800,0,,,,,,,,5,4,,
still_embrace_mage,mage,Heal,180,800,1,,,,,,,,65,98,,
infuse_life_mage,mage,Heal,180,800,2,,,,,,,,64,63,,
healing_rain_mage,mage,Heal,180,800,3,,,,,,,,63,4,,
relief_mage,mage,Heal,120,200,0,,,,,,,,5,4,,
renew_essence_mage,mage,Heal,120,200,1,,,,,,,,65,98,,
lifesong_mage,mage,Heal,120,200,2,,,,,,,,64,63,,
sweet_waters_mage,mage,Heal,120,200,3,,,,,,,,63,4,,
remove_curse_mage,mage,Cure,60,,,,,,,,minorcurses,,10,10,6,
release_curse_mage,mage,Cure,60,,,,,,,,minorcurses,,71,10,6,
undo_evil_mage,mage,Cure,60,,,,,,,,minorcurses,,107,10,6,
restore_armor_mage,mage,Cure,60,,,,,,,,minorcurses,,58,10,6,
sanctuary_mage,mage,TargetBuff,60,,,deduction,0.5,300000,,,,,11,5,6,
protect_soul_mage,mage,TargetBuff,60,,,deduction,0.5,300000,,,,,61,106,6,
guard_life_mage,mage,TargetBuff,60,,,deduction,0.5,300000,,,,,56,77,6,
magic_shield_mage,mage,TargetBuff,60,,,deduction,0.5,300000,,,,,98,70,6,
singe_mage,mage,Damage,20,25 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),11,,,,,,,,28,701,,
embrace_of_the_void_mage,mage,Damage,20,25 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),1,,,,,,,,17,59,,
lightning_mage,mage,Damage,20,25 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),2,,,,,,,,30,57,,
natures_storm_mage,mage,Damage,20,25 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),3,,,,,,,,4,701,,
sleep_mage,mage,Debuff,300,,,,,8000,sleep,,,,2,305,6,18000
sweet_musings_mage,mage,Debuff,300,,,,,8000,sleep,,,,2,305,6,18000
essence_of_poppies_mage,mage,Debuff,300,,,,,8000,sleep,,,,2,305,6,18000
stillness_mage,mage,Debuff,300,,,,,8000,sleep,,,,2,305,6,18000
solace_mage,mage,Heal,600,2000,0,,,,,,,,5,4,,
festival_of_souls_mage,mage,Heal,600,2000,1,,,,,,,,65,98,,
natures_bounty_mage,mage,Heal,600,2000,2,,,,,,,,64,63,,
ohaengs_blessing_mage,mage,Heal,600,2000,3,,,,,,,,63,4,,
spark_mage,mage,Damage,20,15 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),11,,,,,,,,28,701,,
glimpse_of_the_void_mage,mage,Damage,20,15 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),1,,,,,,,,17,59,,
bolt_mage,mage,Damage,20,15 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),2,,,,,,,,30,57,,
natures_ire_mage,mage,Damage,20,15 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),3,,,,,,,,4,701,,
static_mage,mage,Debuff,5,,,,,10000,paralyze,,,,1,7,6,
stormstrike_mage,mage,Damage,150,125 + (player.level * 4) + math.ceil(((player.will + 1) / 2) * 3.5),0,,,,,,,,4,56,,
river_of_blood_mage,mage,Damage,150,125 + (player.level * 4) + math.ceil(((player.will + 1) / 2) * 3.5),1,,,,,,,,17,59,,
natural_disaster_mage,mage,Damage,150,125 + (player.level * 4) + math.ceil(((player.will + 1) / 2) * 3.5),2,,,,,,,,30,57,,
winds_of_disaster_mage,mage,Damage,150,125 + (player.level * 4) + math.ceil(((player.will + 1) / 2) * 3.5),0,,,,,,,,4,701,,
tempest_mage,mage,Damage,310,250 + (player.level * 5) + math.floor(((player.will + 1) / 2) * 5),0,,,,,,,,4,56,6,
dance_macabre_mage,mage,Damage,310,250 + (player.level * 5) + math.floor(((player.will + 1) / 2) * 5),1,,,,,,,,17,59,6,
wilding_mage,mage,Damage,310,250 + (player.level * 5) + math.floor(((player.will + 1) / 2) * 5),2,,,,,,,,30,57,6,
chain_lightning_mage,mage,Damage,310,250 + (player.level * 5) + math.floor(((player.will + 1) / 2) * 5),3,,,,,,,,4,701,6,
thunder_bolt_mage,mage,Damage,5,math.floor(player.level / 2),10,,,,,,,,27,701,,
valor_mage,mage,TargetBuff,30,,,might,3,300000,,,,,11,12,6,
strengthen_mage,mage,TargetBuff,30,,,might,3,300000,,,,,117,31,6,
bless_muscles_mage,mage,TargetBuff,30,,,might,3,300000,,,,,117,31,6,
power_burst_mage,mage,TargetBuff,30,,,might,3,300000,,,,,117,31,6,
venom_mage,mage,Debuff,60,,,,,1,slow,,,,1,24,6,
spirits_leech_mage,mage,Debuff,60,,,,,1,slow,,,,84,24,6,
snake_bite_mage,mage,Debuff,60,,,,,1,slow,,,,84,24,6,
corruption_mage,mage,Debuff,60,,,,,1,slow,,,,84,24,6,
vex_mage,mage,Debuff,60,,,,,,slow,,,,1,43,6,
deaths_face_mage,mage,Debuff,60,,,,,,slow,,,,53,43,6,
unnatural_selection_mage,mage,Debuff,60,,,,,,slow,,,,101,44,6,
flaw_mage,mage,Debuff,60,,,,,,slow,,,,79,26,6,
volcanic_blast_mage,mage,Damage,0,971 + math.ceil(((player.will + 4) / 5) * 18.325),35,,,,,,,,42,88,6,
anoint_poet,poet,Heal,390,200,0,,,,,,,,5,4,6,
brothers_of_spirit_poet,poet,Heal,390,200,1,,,,,,,,65,98,6,
gathering_of_power_poet,poet,Heal,390,200,2,,,,,,,,64,63,6,
natures_family_poet,poet,Heal,390,200,3,,,,,,,,63,4,6,
atone_poet,poet,Cure,60,,,,,,,,curses,,10,10,6,
restore_will_poet,poet,Cure,60,,,,,,,,curses,,71,108,6,
raise_guard_poet,poet,Cure,60,,,,,,,,curses,,107,10,6,
align_armor_poet,poet,Cure,60,,,,,,,,curses,,58,10,6,
barrier_poet,poet,Buff,0,,,,,,,,,,11,,6,
spirit_barrier_poet,poet,Buff,0,,,,,,,,,,-1,,6,
life_barrier_poet,poet,Buff,0,,,,,,,,,,-1,,6,
balance_barrier_poet,poet,Buff,0,,,,,,,,,,-1,,6,
blockade_human_poet,poet,Buff,300,,,,,,,,,,2,,6,
block_entry_poet,poet,Buff,300,,,,,,,,,,-1,,6,
distance_self_poet,poet,Buff,300,,,,,,,,,,-1,,6,
protect_sides_poet,poet,Buff,300,,,,,,,,,,-1,,6,
bolster_poet,poet,TargetBuff,1000,,,armor,4,37000,,,,,2,5,6,
dark_armor_poet,poet,TargetBuff,1000,,,armor,4,37000,,,,,111,5,6,
life_armor_poet,poet,TargetBuff,1000,,,armor,4,37000,,,,,110,5,6,
armor_of_elements_poet,poet,TargetBuff,1000,,,armor,4,37000,,,,,98,5,6,
cotw_giasomo_bird_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
cotw_caterpillar_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
kwisin_companion_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
mingken_companion_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
ohaeng_companion_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
cotw_fluffy_dog_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
kwisin_assistant_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
mingken_assistant_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
ohaeng_assistant_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
cotw_gorilla_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
kwisin_warrior_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
mingken_warrior_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
ohaeng_warrior_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
cotw_panda_bear_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
kwisin_protector_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
mingken_protector_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
ohaeng_protector_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
cotw_wild_monkey_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
kwisin_fighter_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
mingken_fighter_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
ohaeng_fighter_poet,poet,Utility,10,,,,,,,,,,-1,22,6,
cotw_wind_dancer_poet,poet,Utility,10,,,,,,,,,,-1,22,6,480000
kwisin_champion_poet,poet,Utility,10,,,,,,,,,,-1,22,6,480000
mingken_champion_poet,poet,Utility,10,,,,,,,,,,-1,22,6,480000
ohaeng_champion_poet,poet,Utility,10,,,,,,,,,,-1,22,6,480000
cotw_wind_warrior_poet,poet,Utility,,,,,,,,,,,-1,22,6,
kwisin_avatar_poet,poet,Utility,,,,,,,,,,,-1,22,6,
mingken_avatar_poet,poet,Utility,,,,,,,,,,,-1,22,6,
ohaeng_avatar_poet,poet,Utility,,,,,,,,,,,-1,22,6,
cure_paralysis_poet,poet,Cure,60,,,,,,,,paras,,10,10,6,
release_binds_poet,poet,Cure,60,,,,,,,,paras,,70,10,6,
return_movement_poet,poet,Cure,60,,,,,,,,paras,,57,10,6,
free_movement_poet,poet,Cure,60,,,,,,,,paras,,108,95,6,
dishearten_poet,poet,Debuff,1000,,,,,,slow,,,,1,5,6,
dark_fear_poet,poet,Debuff,1000,,,,,,slow,,,,53,43,6,
break_will_poet,poet,Debuff,1000,,,,,,slow,,,,101,26,6,
harshen_attack_poet,poet,Debuff,1000,,,,,,slow,,,,79,26,6,
dispell_poet,poet,Utility,200,,,,,,,,,,10,34,6,
remove_magic_poet,poet,Utility,200,,,,,,,,,,71,37,6,
return_natural_poet,poet,Utility,200,,,,,,,,,,107,34,6,
restore_balance_poet,poet,Utility,200,,,,,,,,,,58,95,6,
earthquake_poet,poet,Damage,0,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),0,,,,,,,,4,56,6,
tossing_the_bones_poet,poet,Damage,0,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),1,,,,,,,,17,59,6,
natures_fury_poet,poet,Damage,0,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),2,,,,,,,,30,57,6,
groundstrike_poet,poet,Damage,0,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),3,,,,,,,,4,701,6,
endear_poet,poet,Buff,300,,,,,,,,,,39,34,6,6000
possess_soul_poet,poet,Buff,300,,,,,,,,,,39,34,6,6000
charm_life_poet,poet,Buff,300,,,,,,,,,,39,34,6,6000
align_follower_poet,poet,Buff,300,,,,,,,,,,39,34,6,6000
essence_of_life_poet,poet,Heal,2000,20000,0,,,,,,,,5,4,,
essence_of_spirit_poet,poet,Heal,2000,20000,1,,,,,,,,65,98,,
lifes_embrace_poet,poet,Heal,2000,20000,2,,,,,,,,64,63,,
earths_cradle_poet,poet,Heal,2000,20000,3,,,,,,,,63,4,,
flare_poet,poet,Damage,80,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),0,,,,,,,,4,56,,
dance_of_death_poet,poet,Damage,80,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),1,,,,,,,,17,59,,
breaking_of_the_world_poet,poet,Damage,80,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),2,,,,,,,,30,57,,
storm_crow_poet,poet,Damage,80,100 + (player.level * 2) + math.floor(((player.will + 1) / 2) * 2),3,,,,,,,,4,701,,
fortify_poet,poet,Heal,0,500,0,,,,,,,,5,4,6,65000
ancestors_kiss_poet,poet,Heal,0,500,1,,,,,,,,65,98,6,65000
fertile_soil_poet,poet,Heal,0,500,2,,,,,,,,64,63,6,65000
waters_of_purity_poet,poet,Heal,0,500,3,,,,,,,,63,4,6,65000
harden_armor_poet,poet,TargetBuff,30,,,armor,10,300000,,,,,2,5,6,
thicken_skin_poet,poet,TargetBuff,30,,,armor,10,300000,,,,,111,5,6,
shield_of_life_poet,poet,TargetBuff,30,,,armor,10,300000,,,,,110,5,6,
elemental_armor_poet,poet,TargetBuff,30,,,armor,10,300000,,,,,59,5,6,
harden_body_poet,poet,Buff,300,,,,,,,,,,11,5,6,
deaths_guard_poet,poet,Buff,300,,,,,,,,,,72,50,6,
lifes_protection_poet,poet,Buff,300,,,,,,,,,,72,108,6,
body_of_alignment_poet,poet,Buff,300,,,,,,,,,,87,5,6,
heal_poet,poet,Heal,120,500,0,,,,,,,,5,4,,
ancestors_touch_poet,poet,Heal,120,500,1,,,,,,,,65,98,,
life_flow_poet,poet,Heal,120,500,2,,,,,,,,64,63,,
infuse_lifeforce_poet,poet,Heal,120,500,3,,,,,,,,63,4,,
healers_revenge_poet,poet,Damage,300,800 + (player.level * 12) + math.ceil(((player.will + 1) / 2) * 12),0,,,,,,,,4,56,,
heavens_kiss_poet,poet,Heal,390,1000,0,,,,,,,,5,4,6,
clan_of_souls_poet,poet,Heal,390,1000,1,,,,,,,,65,98,6,
healing_hand_poet,poet,Heal,390,1000,2,,,,,,,,64,63,6,
earths_embrace_poet,poet,Heal,390,1000,3,,,,,,,,63,4,6,
hyun_moo_spite_poet,poet,Damage,600,3500,0,,,,,,,,4,56,,
ignite_poet,poet,Damage,30,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),0,,,,,,,,4,56,,
spirit_strike_poet,poet,Damage,30,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),1,,,,,,,,17,59,,
wrath_of_nature_poet,poet,Damage,30,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),2,,,,,,,,30,57,,
thunderclap_poet,poet,Damage,30,40 + math.floor(player.level / 2) + math.floor((player.will + 3) / 4),3,,,,,,,,4,701,,
inspiration_poet,poet,Utility,,,,,,,,,,,11,22,6,
draw_energy_poet,poet,Utility,,,,,,,,,,,16,22,6,
harness_power_poet,poet,Utility,,,,,,,,,,,76,22,6,
combine_focus_poet,poet,Utility,,,,,,,,,,,22,22,6,
inspire_poet,poet,Utility,30,,,,,,,,,,11,22,6,
share_energy_poet,poet,Utility,30,,,,,,,,,,12,22,6,
bestow_power_poet,poet,Utility,30,,,,,,,,,,70,22,6,
release_focus_poet,poet,Utility,30,,,,,,,,,,49,22,6,
invoke_poet,poet,ManaBattery,30,,,,,,,,,math.floor(player.maxMagic *.4),11,85,6,22000
spirits_power_poet,poet,ManaBattery,30,,,,,,,,,math.floor(player.maxMagic *.4),95,18,6,22000
life_force_poet,poet,ManaBattery,30,,,,,,,,,math.floor(player.maxMagic *.4),90,97,6,22000
