ts,dmg,ac,level,maxhp,hp_after,nearby
1785305033250,15,73,12,672,579,519
1785305035252,13,73,12,672,566,519
1785305037254,24,73,12,672,542,519
1785305039258,22,73,12,672,570,519
1785305041260,14,73,12,672,606,519
1785305043276,15,73,12,672,591,519
1785305045779,22,73,12,672,569,519
1785305046866,24,73,12,672,559,
1785305096916,1,73,12,672,572,
1785305106845,3,73,12,672,583,
1785305112434,1,73,12,672,582,
1785305118855,1,73,12,672,581,
1785305119435,1,73,12,672,580,
1785305121425,1,73,12,672,579,
1785305762561,1,73,13,728,726,
1785305762635,1,73,13,728,725,
1785305765600,1,73,13,728,724,
1785305766649,1,73,13,728,723,
1785305772068,1,73,13,728,722,
1785305781581,1,73,13,728,727,
1785305815249,1,73,13,728,727,
1785305820194,1,73,13,728,726,
1785305828132,1,73,13,728,727,
1785305831236,1,73,13,728,726,
1785305944355,1,73,13,728,725,
1785305959361,1,73,13,728,727,
1785305971877,1,73,13,728,726,
1785305980798,1,73,13,728,727,
1785305982798,1,73,13,728,726,
1785306797182,1,73,14,787,785,
1785306799184,1,73,14,787,784,
1785306800785,1,73,14,787,783,
1785306803773,1,73,14,787,782,
1785306805707,1,73,14,787,781,
1785306806282,1,73,14,787,780,
1785306808190,1,73,14,787,779,
1785306815197,1,73,14,787,786,
1785306818786,1,73,14,787,785,
1785306871922,1,73,14,787,786,
1785306872923,3,73,14,787,783,
1785306873925,1,73,14,787,782,
1785306878421,1,73,14,787,781,
1785306881423,1,73,14,787,780,
1785306884425,1,73,14,787,779,
1785306884426,1,73,14,787,778,
1785306890554,1,73,14,787,786,
1785306896943,1,73,14,787,785,
1785306900478,1,73,14,787,784,
1785306909193,1,73,14,787,783,
1785306911639,1,73,14,787,782,
1785306911639,1,73,14,787,781,
1785306912750,1,73,14,787,780,
1785366623789,9,70,15,850,810,124;25
1785366625791,13,70,15,850,797,124;25
1785366632796,62,70,15,850,753,124
1785366634798,18,70,15,850,735,124
1785366638802,54,70,15,850,681,124;25
1785366652317,21,70,15,850,660,124;25
1785366659824,19,70,15,850,659,124;25
1785366661825,20,70,15,850,639,124;25
1785366667329,21,70,15,850,618,124;25
1785366675838,64,70,15,850,554,124;25
1785366688348,8,70,15,850,564,124;25
1785366690351,46,70,15,850,518,124;25
1785366692852,48,70,15,850,470,124;25
1785366694854,6,70,15,850,464,124;25
1785366933153,119,70,15,850,507,124
1785367045112,5,70,15,850,616,124
1785367046613,5,70,15,850,611,124
1785450796308,5,70,15,840,845,124;25
1785450807324,3,70,15,840,842,124;25
1785450814833,4,70,15,840,838,124;25
1785450853880,11,70,15,850,839,124;89
1785450859887,11,70,15,850,828,124;89
1785450865895,13,70,15,850,815,124;89
1785450869403,10,70,15,850,805,124;89
1785450875407,11,70,15,850,794,124;89
1785450878411,15,70,15,850,797,124;89
1785450881415,18,70,15,850,779,124;89
1785450931970,16,70,15,850,799,124;88
1785450935472,11,70,15,850,788,124;88
1785450938476,15,70,15,850,773,124;88
1785450942479,7,70,15,850,766,124;88
1785450945489,12,70,15,850,754,124;88
1785450948490,7,70,15,850,747,124;88
1785451279760,5,70,15,840,845,124;25
1785451286266,7,70,15,840,838,124;88
1785451289269,16,70,15,840,822,124;88
1785451292772,7,70,15,840,815,124;88
1785451298778,14,70,15,840,801,124;88
1785451301782,6,70,15,840,795,124;88
1785451407918,21,70,15,840,819,124;89
1785451413922,20,70,15,840,816,124;89
1785451416926,9,70,15,840,807,124;89
1785451422931,7,70,15,840,800,124;89
1785451429438,18,70,15,840,782,124;89
1785451561127,17,70,15,840,823,124;89
1785451564130,17,70,15,840,823,124;89
1785451567135,17,70,15,840,806,124;89
1785451570637,19,70,15,840,787,124;89
1785451573641,17,70,15,840,770,124;89
1785451576644,8,70,15,840,762,124;89
1785452246599,11,70,15,840,829,124;89
1785452249601,20,70,15,840,820,124;89
1785452252604,8,70,15,840,812,124;89
1785452256108,12,70,15,840,800,124;89
1785452259110,13,70,15,840,787,124;89
1785452262115,11,70,15,840,776,124;89
1785454683642,7,70,15,840,833,124;89
1785454692656,15,70,15,840,818,124;89
1785454695659,12,70,15,840,823,124;89
1785455621675,17,70,,0,766,89
1785455627671,7,70,,0,759,89
1785455630667,14,70,,0,762,89
1785455636671,10,70,,0,752,89
1785455639673,12,70,,0,740,89
1785455655697,9,70,,0,748,89
1785455662196,9,70,,0,739,89
1785455674212,14,70,,0,725,89
1785455677721,10,70,,0,715,89
1785455682220,10,70,,0,722,89
1785455688735,7,70,,0,715,89
1785455694844,7,70,,0,708,89
1785455697852,8,70,,0,700,89
1785455700850,21,70,,0,679,89
1785455703854,14,70,,0,665,89
1785456390421,74,70,,0,766,22;23
1785456393424,38,70,,0,728,22;23
1785456396426,45,70,,0,683,22;23
1785456399935,40,70,,0,643,22;23
1785456402939,56,70,,0,587,22;23
1785456408941,99,70,,0,488,22;23
1785456417949,38,70,,0,467,22;23
1785456420953,75,70,,0,392,22;23
1785456427455,62,70,,0,330,22;23
1785456430457,73,70,,0,257,22;23
1785456433459,82,70,,0,175,22;23
1785456436461,50,70,,0,125,22;23
1785456439467,100,70,,0,42,22;23
1785456442972,64,70,,0,228,22;23
1785456600469,12,70,,0,828,22;23
1785456606475,12,70,,0,816,22;23
1785456615484,13,70,,0,803,22;23
1785456622000,12,70,,0,808,22;23
1785456791673,16,70,,0,824,22;23
1785456797678,13,70,,0,827,22;23
1785456806688,12,70,,0,815,22;23
1785456813198,13,70,,0,802,22;23
1785457004435,2,70,16,901,899,22;23
1785457016446,5,70,16,901,894,22;23
1785457515121,4,70,,0,892,25
1785457521146,4,70,,0,888,25
1785457524659,3,70,,0,885,25
1785457532209,5,70,,0,896,25
1785457532718,14,70,,0,882,25
1785457556756,13,70,,0,888,451
1785457560266,17,70,,0,871,451
1785457563270,17,70,,0,854,451
1785457569276,17,70,,0,837,451
1785457572277,15,70,,0,822,451
1785457575279,16,70,,0,806,451
1785457578781,16,70,,0,809,451
1785458096847,45,70,,0,856,
1785458098843,52,70,,0,804,
1785458100844,46,70,,0,758,
1785458102348,34,70,,0,724,
1785458104348,62,70,,0,662,
1785458106853,42,70,,0,820,
1785458108853,50,70,,0,770,
1785458832375,28,70,,0,873,88;22
1785458838382,22,70,,0,851,88;22
1785458841384,33,70,,0,818,88;22
1785458847389,11,70,,0,826,88;22
1785458853899,21,70,,0,805,88;22
1785458859907,9,70,,0,796,88;22
1785458862906,19,70,,0,777,88;22
1785473743635,4,70,,0,897,88;22
1785473746636,5,70,,0,892,88;22
1785473749640,30,70,,0,862,88;22
1785473752647,15,70,,0,866,88;22
1785473755648,6,70,,0,860,88;22
1785473758651,28,70,,0,832,88;22
1785473761656,23,70,,0,809,88;22
1785473767659,33,70,,0,776,88;22
1785473771163,19,70,,0,757,88;22
1785473777167,19,70,,0,757,88;22
1785473780171,3,70,,0,754,88;22
1785473783172,16,70,,0,738,88;22
1785473786179,26,70,,0,712,88;22
1785473792683,18,70,,0,694,88;22
1785473795686,33,70,,0,661,88;22
1785473798690,8,70,,0,653,88;22
1785473804696,22,70,,0,650,88;22
1785473807701,13,70,,0,637,88;22
1785473810701,29,70,,0,608,88;22
1785473813705,3,70,,0,605,88;22
1785473816711,6,70,,0,599,88;22
1785476410805,11,70,,0,890,58
1785476410805,11,70,,0,890,58
1785476413807,8,70,,0,882,58
1785476413807,8,70,,0,882,58
1785476414808,11,70,,0,871,58
1785476416308,8,70,,0,863,58
1785476417820,8,70,,0,855,58
1785476414809,11,70,,0,871,58
1785476416308,8,70,,0,863,58
1785476417820,8,70,,0,855,58
1785476419310,8,70,,0,847,58
1785476419310,8,70,,0,847,58
1785476420311,9,70,,0,838,58
1785476421814,10,70,,0,828,58
1785476423313,10,70,,0,868,58
1785476424318,11,70,,0,857,58
1785476420311,9,70,,0,838,58
1785476421814,10,70,,0,828,58
1785476423313,10,70,,0,868,58
1785476424318,11,70,,0,857,58
1785476425825,9,70,,0,848,58
1785476425825,9,70,,0,848,58
1785476427325,9,70,,0,839,58
1785476428827,9,70,,0,830,58
1785476429831,10,70,,0,820,58
1785476427325,9,70,,0,839,58
1785476428827,9,70,,0,830,58
1785476429831,10,70,,0,820,58
1785476431329,8,70,16,901,812,58
1785476431329,8,70,16,901,812,58
1785476434331,11,70,16,901,820,58
1785476435332,9,70,16,901,811,58
1785476434331,11,70,16,901,820,58
1785476435332,9,70,16,901,811,58
1785476436835,10,70,16,901,851,58
1785476436835,10,70,16,901,851,58
1785476438334,10,70,16,901,891,58
1785476439842,11,70,16,901,880,58
1785476440842,9,70,16,901,871,58
1785476442341,8,70,16,901,863,58
1785476438334,10,70,16,901,891,58
1785476439842,11,70,16,901,880,58
1785476440842,9,70,16,901,871,58
1785476442341,8,70,16,901,863,58
1785476443844,9,70,16,901,854,58
1785476443844,9,70,16,901,854,58
1785476445343,9,70,16,901,845,58
1785476447849,9,70,16,901,836,58
1785476445343,9,70,16,901,845,58
1785476447849,9,70,16,901,836,58
1785476449347,9,70,16,901,827,58
1785476449347,9,70,16,901,827,58
1785476451855,12,70,16,901,815,58
1785476453350,11,70,16,901,804,58
1785476451855,12,70,16,901,815,58
1785476453350,11,70,16,901,804,58
1785476454854,11,70,16,901,793,58
1785476455857,11,70,16,901,782,58
1785476454854,11,70,16,901,793,58
1785476455857,11,70,16,901,782,58
1785476457357,11,70,16,901,771,58
1785476458861,11,70,16,901,760,58
1785476459861,11,70,16,901,768,58
1785476457357,11,70,16,901,771,58
1785476458861,11,70,16,901,760,58
1785476459861,11,70,16,901,768,58
1785476461359,12,70,16,901,756,58
1785476461359,12,70,16,901,756,58
1785476462865,12,70,16,901,744,58
1785476464362,10,70,16,901,734,58
1785476465866,8,70,16,901,726,58
1785476462865,12,70,16,901,744,58
1785476464362,10,70,16,901,734,58
1785476465866,8,70,16,901,726,58
1785476466866,11,70,16,901,715,58
1785476466866,11,70,16,901,715,58
1785476468365,11,70,16,901,704,58
1785476469868,12,70,16,901,692,58
1785476471372,11,70,16,901,681,58
1785476468365,11,70,16,901,704,58
1785476469868,12,70,16,901,692,58
1785476471372,11,70,16,901,681,58
1785476472374,10,70,16,901,671,58
1785476473877,8,70,16,901,663,58
1785476472374,10,70,16,901,671,58
1785476473877,8,70,16,901,663,58
1785476477880,9,70,16,901,654,58
1785476477880,9,70,16,901,654,58
1785476479382,12,70,16,901,642,58
1785476479382,12,70,16,901,642,58
1785476482381,11,70,16,901,631,58
1785476483383,8,70,16,901,623,58
1785476482381,11,70,16,901,631,58
1785476483383,8,70,16,901,623,58
1785476486387,12,70,16,901,630,58
1785476487893,10,70,16,901,620,58
1785476488896,11,70,16,901,609,58
1785476486387,12,70,16,901,630,58
1785476487893,10,70,16,901,620,58
1785476488896,11,70,16,901,609,58
1785476498403,11,70,16,901,598,21
1785476498403,11,70,16,901,598,21
1785476504407,8,70,16,901,840,21
1785476507410,11,70,16,901,829,21
1785476504407,8,70,16,901,840,21
1785476507410,11,70,16,901,829,21
1785476510413,9,70,16,901,839,21
1785476513919,12,70,16,911,827,21
1785476510413,9,70,16,901,839,21
1785476513919,12,70,16,911,827,21
1785476522930,12,70,16,911,815,21
1785476525936,12,70,16,911,803,21
1785476522930,12,70,16,911,815,21
1785476525936,12,70,16,911,803,21
1785476528944,12,70,16,911,791,21
1785476531949,8,70,16,911,783,21
1785476528944,12,70,16,911,791,21
1785476531949,8,70,16,911,783,21
1785476534948,11,70,16,911,791,21
1785476534949,11,70,16,911,791,21
1785534552542,19,69,16,911,877,22
1785534555545,6,69,16,877,871,22
1785534558547,21,69,16,877,850,22
1785534571059,8,69,16,850,861,22
1785534574061,13,69,16,850,848,22
1785534580069,14,69,16,848,834,22
1785534723921,18,69,16,911,418,
1785534739426,6,69,16,911,412,
1785534745439,20,69,16,911,411,
1785534748439,21,69,16,911,390,
1785534763953,10,69,16,911,380,
1785534766957,18,69,16,911,362,
1785545507946,7,69,16,911,904,89
1785545516953,13,69,16,911,891,89
1785545541478,18,69,17,911,892,89
1785545544985,19,69,17,911,873,89
1785545698216,13,69,16,911,598,
1785545716746,7,69,16,911,591,
1785545719748,7,69,16,911,584,
1785545734760,13,69,16,911,590,
1785545771310,7,69,16,911,602,
1785546291318,38,69,16,911,480,
1785546300323,7,69,16,911,523,
1785546309333,10,69,16,911,532,
1785546312336,13,69,16,911,519,
1785546315832,35,69,16,911,484,
1785546318835,12,69,16,911,472,
1785546327842,18,69,16,911,454,
1785546330844,17,69,16,911,456,
1785550022666,11,69,18,911,900,
1785550034677,12,69,18,911,888,
1785550037681,16,69,18,911,891,
1785552477851,6,69,,911,905,
1785552478351,18,69,,911,887,
1785552487863,9,69,,911,878,
1785552490866,12,69,,911,866,
1785552502879,10,69,,911,875,
1785552505385,7,69,,911,868,
1785558400684,25,69,,911,886,
1785558401073,32,69,,911,873,
1785558407682,18,69,,911,855,
1785558409819,9,69,,911,846,
1785558414101,42,69,,911,804,
1785558417237,21,69,,911,783,
1785558417237,68,69,,911,715,
1785558419163,21,69,,911,694,
1785558420372,81,69,,911,613,
1785558422283,7,69,,911,606,
1785558425734,19,69,,911,587,
1785558425734,55,69,,911,532,
1785558429180,59,69,,911,492,
1785558431106,8,69,,911,484,
1785558432428,70,69,,911,464,
1785558437114,11,69,,911,503,
1785558439131,80,69,,911,423,
1785558441116,87,69,,911,336,
1785558443618,16,69,,911,370,
1785558444120,36,69,,911,334,
1785558446761,13,69,,911,371,
1785558450038,19,69,,911,402,
1785558450623,56,69,,911,346,
1785558453246,18,69,,911,397,
1785558453625,72,69,,911,325,
1785558456465,16,69,,911,359,
1785558459740,96,69,,911,313,
1785558461774,10,69,,911,353,
1785558462969,84,69,,911,269,
1785558466242,32,69,,911,287,
1785558469505,101,69,,911,236,
1785558471544,11,69,,911,275,
1785558472713,99,69,,911,176,
1785558474655,78,69,,911,98,
1785558477487,20,69,,911,128,
1785558478699,42,69,,911,86,
1785558480162,15,69,,911,90,
1785558480660,71,69,,911,19,
1785558483482,15,69,,911,54,
1785558486167,12,69,,911,42,
1785558487167,31,69,,911,11,
1785558489478,12,69,,911,49,
1785558490693,49,69,,911,0,
1785569586133,11,69,,911,900,
1785569589135,16,69,,911,884,
1785569592138,11,69,,911,873,
1785569819158,16,69,,911,693,
1785569928463,10,69,,911,778,88
1785569934969,13,69,,911,765,88
1785569975015,8,69,,911,795,88
1785569981020,14,69,,911,781,88
1785569984025,11,69,,911,770,88
1785569987029,16,69,,911,754,88
1785569990532,16,69,,911,738,88
1785570017069,5,69,,911,752,88;22
1785570020071,8,69,,911,744,88;22
1785570023075,27,69,,911,736,88;22
1785570024076,12,69,,911,724,88;22
1785570032082,19,69,,911,705,88;22
1785570035085,21,69,,911,684,88;22
1785570038087,18,69,,911,666,88;22
1785570039088,18,69,,911,648,88;22
1785570041090,20,69,,911,628,88;22
1785570047097,35,69,,911,612,88;22
1785570048098,16,69,,911,596,88;22
1785570050600,19,69,,911,577,88;22
1785570053603,6,69,,911,571,88;22
1785570054603,9,69,,911,562,88;22
1785570056609,33,69,,911,529,88;22
1785570057611,7,69,,911,522,88;22
1785570059612,14,69,,911,508,88;22
1785570060612,16,69,,911,492,88;22
1785570066618,7,69,,911,535,88;22
1785570069620,9,69,,911,526,88;22
1785570079135,13,69,,911,532,88;22
1785570090160,21,69,,911,511,88;22
1785570093161,31,69,,911,480,88;22
1785570096163,5,69,,911,525,88;22
1785570099174,8,69,,911,536,88;22
1785570100167,25,69,,911,511,88;22
1785570102169,12,69,,911,499,88;22
1785570112685,10,69,,911,539,88;22
1785570132707,21,69,,911,537,22;89
1785570135712,20,69,,911,517,22;89
1785570144716,15,69,,911,502,22;89
1785570148224,21,69,,911,500,22;89
1785570151225,21,69,,911,529,22;89
1785570151225,42,69,,911,487,22;89
1785570154229,29,69,,911,508,22;89
1785570169341,13,69,,911,495,22;89
1785570172350,17,69,,911,528,22;89
1785570178862,16,69,,911,531,22;89
1785570181866,23,69,,911,508,22;89
1785570181866,9,69,,911,499,22;89
1785570234940,15,69,,911,572,22;88
1785570309503,17,69,,911,612,22;89
1785570367074,13,69,,911,637,22;89
1785570388099,17,69,,911,639,22;89
1785570391100,16,69,,911,623,22;89
1785570397603,15,69,,911,608,22;89
1785570403609,18,69,,911,609,22;89
1785570412617,16,69,,911,593,22;89
1785570422125,10,69,,911,583,22;89
1785570440141,9,69,,911,593,22;89
1785570443144,16,69,,911,577,22;89
1785570446148,13,69,,911,564,22;89
1785570449154,19,69,,911,545,22;89
1785570452652,8,69,,911,556,22;89
1785570461664,21,69,,911,535,22;89
1785570464666,11,69,,911,524,22;89
1785570471176,16,69,,911,508,22;89
1785570474180,10,69,,911,498,22;89
1785570477184,16,69,,911,551,22;89
1785570480187,6,69,,911,545,22;89
1785570486196,16,69,,911,529,22;89
1785570492202,10,69,,911,519,22;89
1785570495203,9,69,,911,510,22;89
1785570498206,16,69,,911,494,22;89
1785570501716,17,69,,911,546,22;89
1785570504713,11,69,,911,535,22;89
1785570510718,16,69,,911,519,22;89
1785570513721,20,69,,911,499,22;89
1785570526236,11,69,,911,557,22;89
1785570529238,10,69,,911,547,22;89
1785570535244,6,69,,911,541,22;89
1785570541249,18,69,,911,523,22;89
1785570544255,12,69,,911,511,22;89
1785570547359,16,69,,911,495,22;89
1785570550363,10,69,,911,554,22;89
1785570559870,9,69,,911,545,22;89
1785570565874,9,69,,911,536,22;89
1785570574891,14,69,,911,522,22;89
1785570577893,8,69,,911,533,22;89
1785570580896,17,69,,911,516,22;89
1785570584398,8,69,,911,508,22;89
1785570590407,10,69,,911,498,22;89
1785570593412,9,69,,911,539,22;89
1785570599417,8,69,,911,531,22;89
1785570611927,6,69,,911,544,22;89
1785570617932,7,69,,911,537,22;89
1785570626939,17,69,,911,539,22;89
1785570636449,20,69,,911,519,22;89
1785570639452,20,69,,911,499,22;89
1785570645459,14,69,,911,535,22;89
1785570648459,15,69,,911,520,22;89
1785570651468,8,69,,911,531,22;89
1785570663478,12,69,,911,519,22;89
1785570666979,8,69,,911,511,22;89
1785570669987,13,69,,911,498,22;89
1785570672989,13,69,,911,535,22;89
1785570681997,8,69,,911,546,22;89
1785570685000,12,69,,911,534,22;89
1785570688010,18,69,,911,516,22;89
1785570694511,11,69,,911,505,22;89
1785570697517,20,69,,911,485,22;89
1785570700517,17,69,,911,518,22;89
1785570703525,12,69,,911,525,22;89
1785570706526,21,69,,911,504,22;89
1785570715538,13,69,,911,491,22;89
1785570719034,8,69,,911,533,22;89
1785570725040,9,69,,911,524,22;89
1785570734046,17,69,,911,526,22;89
1785570737050,20,69,,911,506,22;89
1785570740557,12,69,,911,494,22;89
1785570752577,10,69,,911,553,22;89
1785570755580,16,69,,911,537,22;89
1785570767588,20,69,,911,517,22;89
1785570770590,18,69,,911,499,22;89
1785570774095,18,69,,911,531,22;89
1785570777097,21,69,,911,529,22;89
1785570780102,9,69,,911,520,22;89
1785570783106,13,69,,911,507,22;89
1785570789113,11,69,,911,496,22;89
1785570792117,13,69,,911,533,22;89
1785570795319,16,69,,911,517,22;89
1785570801325,17,69,,911,519,22;89
1785570804329,10,69,,911,509,22;89
1785570807331,17,69,,911,492,22;89
1785570810839,17,69,,911,525,22;89
1785570819845,19,69,,911,506,22;89
1785570825857,16,69,,911,490,22;89
1785570831862,8,69,,911,501,22;89
1785570834866,19,69,,911,532,22;89
1785570837868,9,69,,911,523,22;89
1785570844431,11,69,,911,512,22;89
1785570854007,8,69,,911,523,22;89
1785570857008,17,69,,911,506,22;89
1785570863014,21,69,,911,485,22;89
1785570866016,10,69,,911,525,22;89
1785570869021,14,69,,911,511,22;89
1785570872024,19,69,,911,492,22;89
1785570875027,21,69,,911,521,22;89
1785570878536,19,69,,911,521,22;89
1785570881538,13,69,,911,508,22;89
1785570887543,7,69,,911,501,22;89
1785570890547,20,69,,911,531,22;89
1785570893549,20,69,,911,511,22;89
1785570896551,18,69,,911,493,22;89
1785570905565,11,69,,911,551,22;89
1785570908568,18,69,,911,533,22;89
1785570915075,11,69,,911,522,22;89
1785570918078,13,69,,911,509,22;89
1785570924084,15,69,,911,494,22;89
1785570927086,21,69,,911,523,22;89
1785570936598,9,69,,911,533,22;89
1785570945607,14,69,,911,519,22;89
1785570948609,20,69,,911,499,22;89
1785570954615,19,69,,911,549,22;89
1785570964128,11,69,,911,538,22;89
1785570967130,19,69,,911,519,22;89
1785570970137,17,69,,911,502,22;89
1785570976144,6,69,,911,496,22;89
1785570979145,17,69,,911,548,22;89
1785570982148,10,69,,911,538,22;89
1785570991656,14,69,,911,524,22;89
1785570994659,16,69,,911,508,22;89
1785571007176,9,69,,911,518,22;89
1785571013182,16,69,,911,502,22;89
1785571016183,13,69,,911,489,22;89
1785571022189,20,69,,911,519,22;89
1785571025693,7,69,,911,512,22;89
1785571034707,16,69,,911,515,22;89
1785571037708,16,69,,911,499,22;89
1785571046719,8,69,,911,541,22;89
1785571049719,11,69,,911,530,22;89
1785571052723,17,69,,911,513,22;89
1785571056226,10,69,,911,522,22;89
1785571062230,20,69,,911,502,22;89
1785571074245,16,69,,911,486,22;89
1785571077247,6,69,,911,530,22;89
1785571080250,20,69,,911,529,22;89
1785571083252,17,69,,911,512,22;89
1785571086758,16,69,,911,496,22;89
1785571089760,16,69,,911,530,22;89
1785571095765,20,69,,911,510,22;89
1785571101773,16,69,,911,494,22;89
1785571104777,13,69,,911,550,22;89
1785571114285,18,69,,911,532,22;89
1785571117287,13,69,,911,519,22;89
1785571120290,9,69,,911,510,22;89
1785571123292,7,69,,911,503,22;89
1785571135813,14,69,,911,508,22;89
1785571138814,8,69,,911,500,22;89
1785571150835,17,69,,911,533,22;89
1785571166347,7,69,,911,545,22;89
1785571169349,10,69,,911,535,22;89
1785571172354,17,69,,911,518,22;89
1785571175356,14,69,,911,504,22;89
1785571178861,15,69,,911,489,22;89
1785571181862,19,69,,911,539,22;89
1785571184866,14,69,,911,525,22;89
1785571187870,15,69,,911,510,22;89
1785571193876,14,69,,911,496,22;89
1785571199882,18,69,,911,528,22;89
1785571202889,11,69,,911,517,22;89
1785571218415,19,69,,911,517,22;89
1785599963201,25,69,,911,625,88
1785599966206,18,69,,911,607,88
