ts,eid,mob,zone,hit,dmg,level,might,grace,will,dam,hit_stat,ac,self_x,self_y,mob_x,mob_y,facing,rel_dir,dist,weapon,gear
1785715539635,604177,,Thousand Legs,1,27,18,12,19,10,1,3,54,15,8,15,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715540269,604177,Large centipede,Thousand Legs,1,25,18,12,19,10,1,3,54,15,8,15,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715540795,604177,Large centipede,Thousand Legs,1,91,18,12,19,10,1,3,54,15,8,15,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715541496,604177,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,15,8,15,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715542702,604177,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,16,7,15,7,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715543787,604177,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,15,7,15,7,3,1,0,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715544782,604177,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,14,7,15,7,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715545398,608075,,Thousand Legs,1,31,18,12,19,10,1,3,54,15,7,15,8,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715546012,608075,,Thousand Legs,1,31,18,12,19,10,1,3,54,15,7,15,8,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715546627,599371,,Thousand Legs,0,0,18,12,19,10,1,3,54,15,7,16,7,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715547242,599371,,Thousand Legs,1,30,18,12,19,10,1,3,54,15,7,16,7,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715547770,599371,,Thousand Legs,1,30,18,12,19,10,1,3,54,15,7,16,7,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715548386,599371,Large centipede,Thousand Legs,1,27,18,12,19,10,1,3,54,15,7,16,7,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715548887,608075,Rat,Thousand Legs,0,0,18,12,19,10,1,3,54,15,7,15,8,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715549972,608075,Rat,Thousand Legs,0,0,18,12,19,10,1,3,54,15,8,15,8,1,1,0,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715550947,599371,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,16,8,16,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715551565,599371,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,16,8,16,7,1,1,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715552266,608076,,Thousand Legs,0,0,18,12,19,10,1,3,54,16,7,16,8,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715552796,608076,,Thousand Legs,0,0,18,12,19,10,1,3,54,16,7,16,8,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715553579,608076,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,16,7,16,8,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715554093,608076,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,16,8,17,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715554871,608076,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,16,8,17,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715555399,608076,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,16,8,17,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715555912,608076,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,16,8,17,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715556429,608076,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,16,8,17,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715556956,608076,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,16,8,17,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715557569,608076,Large centipede,Thousand Legs,1,53,18,12,19,10,1,3,54,17,8,18,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715558095,608076,Large centipede,Thousand Legs,1,60,18,12,19,10,1,3,54,17,8,18,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715558928,608076,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,17,8,18,8,1,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715561893,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715562421,607417,Large centipede,Thousand Legs,1,49,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715563036,607417,Large centipede,Thousand Legs,1,49,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715563651,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715564178,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715564793,607417,Large centipede,Thousand Legs,1,26,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715565418,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715565946,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715566562,607417,Large centipede,Thousand Legs,1,25,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715567175,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715567703,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715568317,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715568931,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715569458,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715569962,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715570705,607417,Large centipede,Thousand Legs,1,26,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715571232,607417,Large centipede,Thousand Legs,1,26,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715571848,607417,Large centipede,Thousand Legs,1,27,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715572463,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715572991,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715573608,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715574240,607417,Large centipede,Thousand Legs,1,26,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715574768,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715575383,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715575996,607417,Large centipede,Thousand Legs,1,79,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715576524,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715577141,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715577753,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715578281,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715578782,607417,Large centipede,Thousand Legs,1,24,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715579528,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715580057,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715580673,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715581284,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715581815,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715582429,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715583061,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715583589,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715584203,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715584817,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715585347,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715585962,607417,Large centipede,Thousand Legs,1,26,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715586576,607417,Large centipede,Thousand Legs,1,26,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715587104,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715587736,607417,Large centipede,Thousand Legs,1,27,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715588348,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715588876,607417,Large centipede,Thousand Legs,1,27,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715589492,607417,Large centipede,Thousand Legs,1,27,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715590105,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715590632,607417,Large centipede,Thousand Legs,1,24,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715591248,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715591878,607417,Large centipede,Thousand Legs,1,24,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715592406,607417,Large centipede,Thousand Legs,1,24,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715593019,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715593632,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715594160,607417,Large centipede,Thousand Legs,1,27,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715594774,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715595388,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715595914,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715596541,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715597156,607417,Large centipede,Thousand Legs,1,23,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715597683,607417,Large centipede,Thousand Legs,1,25,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715598297,607417,Large centipede,Thousand Legs,1,27,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715598911,607417,Large centipede,Thousand Legs,1,24,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715599438,607417,Large centipede,Thousand Legs,1,26,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715600052,607417,Large centipede,Thousand Legs,1,26,18,12,19,10,1,3,54,20,8,20,7,0,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715600647,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,7,20,7,3,1,0,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715601501,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,7,20,7,0,1,0,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715602355,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,7,20,7,1,1,0,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715603211,607417,Large centipede,Thousand Legs,0,0,18,12,19,10,1,3,54,20,7,20,7,2,1,0,Swift sword,Swift sword|Farmer armor|Merchant helm|Black ring|Sea ring
1785715629261,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,3,10,3,11,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715629792,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,3,10,3,11,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715630493,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,3,10,3,11,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715631020,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,3,10,3,11,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715631594,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,10,2,11,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715632120,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,10,2,11,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715632734,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,10,2,11,2,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715634660,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715635187,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715635800,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715636415,75557,Bat,Sonar Central,1,52,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715636943,75557,Bat,Sonar Central,1,47,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715637556,75557,Bat,Sonar Central,1,26,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715638190,75557,Bat,Sonar Central,1,24,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715638716,75557,Bat,Sonar Central,1,23,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715639330,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715639945,75557,Bat,Sonar Central,1,25,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715640473,75557,Bat,Sonar Central,1,25,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715641088,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715641703,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715642230,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715642730,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715643477,75557,Bat,Sonar Central,1,25,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715644006,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715644620,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715645233,75557,Bat,Sonar Central,1,23,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715645759,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715646374,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715647006,75557,Bat,Sonar Central,1,23,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715647533,75557,Bat,Sonar Central,1,23,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715648145,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715648759,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715649287,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715649902,75557,Bat,Sonar Central,1,27,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715650516,75557,Bat,Sonar Central,1,79,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715651044,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715651679,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715652292,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715652819,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715653433,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715654046,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
1785715654573,75557,Bat,Sonar Central,0,0,18,12,19,10,1,0,64,2,11,1,11,3,0,1,Swift sword,Swift sword|Farmer armor|Merchant helm|Sea ring
